name,num
Agero,5963
Stones,4563
Hazard,3977
Ibrahimovic,3662
Gray,3575
Friend,3095
Redmond,3077
Jakupovic,2957
Amat,2866
Mahrez,2671
de Gea,2568
Valencia,2560
Fletcher,2288
Shaw,2236
Foster,2200
Vardy,2115
Morgan,2110
Firmino,2053
Lamela,1940
Evans,1741
Paredes,1484
Eriksen,1389
Long,1341
Payet,1266
Kane,1264
Bellern,1181
McAuley,1146
Townsend,1108
Tadic,1084
Walker,1082
Capoue,1028
Heaton,983
Alderweireld,980
Kant,953
Deulofeu,945
Ayew,917
Feghouli,894
Pieters,887
van Dijk,872
Fuchs,838
Valds,773
Azpilicueta,766
Baines,726
Schmeichel,719
Alli,712
Mandanda,704
Smith,690
Sigurdsson,679
Cech,669
Dier,634
Pickford,633
Negredo,628
Carroll,614
Man,598
Snchez,568
Barkley,565
Williams,555
Hjbjerg,550
Wilson,533
Musa,529
Martial,511
Dann,500
Forster,497
van Aanholt,489
Courtois,484
Mkhitaryan,464
Willian,455
Coutinho,440
F bregas,416
Ibe,414
Sagna,409
Lukaku,408
Shaqiri,402
Drinkwater,379
Silva,376
Boruc,374
Ighalo,373
Bailly,372
Funes Mori,371
Costa,369
Kon,367
Terry,367
Lloris,364
Souar,350
Hennessey,315
De Bruyne,314
Daniels,277
Grabban,277
Clyne,275
Monreal,273
Ramrez,268
Moreno,261
Gradel,261
Kingsley,260
Dawson,259
Xhaka,256
Pogba,252
Butland,251
Origi,247
Bolasie,243
Hart,240
Deeney,239
Fischer,236
Wollscheid,231
Cabaye,209
Francis,200
Adrin,199
zil,189
Rondn,180
Rose,176
Bojan,171
Kolarov,170
Nordfeldt,169
Gomes,163
Fry,160
Fernndez,160
Noble,159
Llorente,157
Fonte,151
Rooney,148
Pope,146
Ivanovic,145
Watson,145
Ramsey,143
Chambers,142
Iwobi,136
Zaha,134
Lenihan,132
Simpson,126
Robinson,124
Walcott,117
Coleman,115
Wijnaldum,115
Routledge,112
Ak,112
Lallana,109
Antonio,109
Targett,108
Mee,105
Mannone,105
Ward,104
Wickham,103
Allen,102
Oscar,101
Borini,101
Leko,100
Koscielny,99
Darmian,98
Downing,97
Hernndez,96
Cahill,95
Taylor,92
Albrighton,91
Austin,87
Rashford,86
Rhodes,84
Arnautovic,84
Diomande,84
Kouyat,83
Myhill,79
