name,num
Agero,3187
Stones,2301
Redmond,2260
Hazard,2136
Gray,1964
Friend,1852
Amat,1762
Foster,1603
Jakupovic,1539
Ibrahimovic,1513
Valencia,1419
Mahrez,1383
Lamela,1309
Fletcher,1039
Firmino,945
Evans,911
Shaw,907
Vardy,875
Morgan,763
Capoue,681
de Gea,651
Townsend,566
Heaton,556
McAuley,522
Eriksen,504
Deulofeu,464
Walker,460
Paredes,434
Pieters,416
Feghouli,390
Kane,390
Tadic,383
Long,377
Smith,330
Baines,322
Barkley,299
Valds,293
Ayew,285
Negredo,280
Mandanda,268
Hjbjerg,240
van Dijk,234
Williams,228
Schmeichel,216
Pickford,213
Souar,201
Wilson,199
Fuchs,195
Carroll,195
Alli,194
Forster,192
Payet,181
Funes Mori,178
Kon,176
Snchez,168
Sigurdsson,162
Martial,158
Azpilicueta,155
Alderweireld,153
Ramrez,150
Shaqiri,143
Bellern,142
Kingsley,137
van Aanholt,135
Courtois,134
Dann,131
Terry,130
Ibe,124
Gradel,122
Silva,117
Kant,116
Dawson,108
Wollscheid,102
Lloris,102
Musa,100
F bregas,97
Man,93
Cech,92
Sagna,85
Costa,83
Dier,81
Mkhitaryan,81
Willian,79
Lukaku,78
Boruc,77
Francis,74
Adrin,71
Coutinho,70
Daniels,68
Bailly,66
De Bruyne,65
Hennessey,64
Pope,61
Fischer,60
Bojan,58
Watson,55
Butland,55
Chambers,54
Drinkwater,53
Fry,53
Deeney,52
Routledge,52
Rondn,52
Llorente,52
Grabban,51
Mee,50
Bolasie,50
Lenihan,49
Hart,48
Targett,48
Nordfeldt,47
Leko,47
Mannone,40
Monreal,40
Fernndez,39
Cabaye,39
Oscar,37
Ward,37
Iwobi,37
Zaha,37
Moreno,34
Robinson,34
Xhaka,33
Diomande,32
Gomes,32
Ak,30
Wickham,28
Simpson,28
Origi,27
Ighalo,26
Ramsey,26
Noble,26
Allen,25
Robertson,24
Clyne,23
Hernndez,23
Cdric,23
Vertonghen,22
Walcott,22
Byram,22
Myhill,21
Keane,21
Naughton,20
Rooney,19
Rhodes,19
Rose,19
Taylor,19
Coleman,19
Nyom,18
Fabianski,18
Albrighton,18
Holding,18
Defoe,18
Tarkowski,17
zil,16
Clayton,15
Downing,15
Ivanovic,15
Delaney,14
Nsue,14
Borini,14
Pogba,14
Cook,13
Wasilewski,13
Reid,13
Phillips,12
Chamberlain,12
Nolito,12
Barry,11
Sterling,11
Stekelenburg,11
King,11
Cathcart,11
Mignolet,11
Caballero,11
Jedinak,10
Coquelin,10
Lallana,10
Snodgrass,10
Darmian,10
Arnautovic,10
Clichy,10
Barragn,10
Fonte,9
Januzaj,9
de Roon,9
Teixeira,9
Kolarov,9
Lafferty,9
Adomah,8
Puncheon,8
Kouyat,8
Austin,8
Love,8
Guzan,8
Okazaki,8
Cazorla,8
Mirallas,8
Gudmundsson,7
Lingard,7
Shawcross,7
Kaboul,7
Wijnaldum,7
Pocognoli,6
Zuiga,6
Barrow,6
Collins,6
Browning,6
Lowton,6
Surman,6
Cameron,6
Antonio,6
Davies,6
Diouf,6
Koscielny,6
Gamboa,6
Whelan,6
Rashford,6
Carrick,5
Can,5
Fer,5
Djilobodji,5
Elmohamady,5
Ledley,5
Batshuayi,5
Rodwell,5
Ogbonna,5
Nugent,5
Bastn,5
Cahill,5
Delph,4
Huth,4
Wimmer,4
Afobe,4
Schlupp,4
Vydra,4
Davis,4
Giroud,4
Blind,4
McNair,4
Masuaku,4
Wanyama,4
Lovren,4
Mendy,4
Stephens,4
Gabriel,4
Benteke,4
Janssen,4
Hoban,4
Emnes,3
Benalouane,3
Zabaleta,3
Martina,3
Otamendi,3
Flanagan,3
Konstantopoulos,3
Stuani,3
McClean,3
Aina,3
Kaikai,3
Randall,3
Jagielka,3
Gibson,3
Maloney,3
Jutkiewicz,3
Klavan,3
Kightly,3
Cork,3
Olsson,3
Rodriguez,3
Fernandinho,3
Yoshida,3
Campbell,3
Oriol Romeu,3
Pied,3
Milner,2
O'Shea,2
Mata,2
Henderson,2
Vokes,2
Ward-Prowse,2
McCarthy,2
Matic,2
Yaya Tour,2
Mangala,2
Sobhi,2
Oviedo,2
Matip,2
Montero,2
Hennings,2
Holebas,2
Akpom,2
van der Hoorn,2
Bruce,2
Oxford,2
Bertrand,2
Yedlin,2
Navas,2
Dyer,2
Cullen,2
Smalling,1
Clasie,1
Mutch,1
Pedro,1
Imbula,1
Meyler,1
Tre,1
Miazga,1
Carter-Vickers,1
Ings,1
Gndogan,1
Rantie,1
Khazri,1
Herrera,1
Morrison,1
Boyd,1
Surez,1
Haugaard,1
Walters,1
Sturridge,1
Ki Sung-yueng,1
Grujic,1
Marney,1
Lambert,1
Pennington,1
Crouch,1
Lens,1
Chilwell,1
Elneny,1
Gosling,1
Sanogo,1
Yacob,1
Berahino,1
Behrami,1
Schneiderlin,1
Amartey,1
Nordtveit,1
Jones,1
Zieler,1
Lennon,1
